query;title;url;abstract;authors;date;downloads;score;journal
"""in vivo gene editing"" OR ""in vivo genome editing""";A pipeline for rapidly generating genetically engineered mouse models of pancreatic cancer using in vivo CRISPR-Cas9 mediated somatic recombination;https://www.biorxiv.org/content/10.1101/398347v1;Genetically engineered mouse models (GEMMs) that recapitulate the major genetic drivers in pancreatic ductal adenocarcinoma (PDAC) have provided unprecedented insights into the pathogenesis of this lethal neoplasm.  Nonetheless, generating an autochthonous model is an expensive , time consuming and labor intensive process, particularly when tissue specific expression or deletion of compound alleles are involved.;Noboru Ideno ... Bidyut Ghosh;2018-08-23;1015;0.29;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";Comparative assessment of fluorescent proteins for in vivo imaging in an animal model system;https://www.biorxiv.org/content/10.1101/040279v1;Fluorescent protein tags are fundamental tools used to visualize gene products and analyze their dynamics in vivo.  Recent advances in genome editing have enabled precise insertion of fluorescent protein tags into the genomes of diverse organisms.;Jennifer K Heppert ... Bob Goldstein;2016-02-19;4580;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";New human chromosomal safe harbor sites for genome engineering with CRISPR/Cas9, TAL effector and homing endonucleases;https://www.biorxiv.org/content/10.1101/396390v1;Safe Harbor Sites (SHS) are genomic locations where new genes or genetic elements can be introduced without disrupting the expression or regulation of adjacent genes.  We have identified 35 potential new human SHS in order to substantially expand SHS options beyond the three widely used canonical human SHS, AAVS1, CCR5 and hROSA26.;Stefan Pellenz ... Raymond J Monnat;2018-08-20;3109;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";AAV-mediated CRISPR/Cas gene editing of retinal cells in vivo.;https://www.biorxiv.org/content/10.1101/039156v2;PURPOSE: CRISPR/Cas has recently been adapted to enable efficient editing of the mammalian genome, opening novel avenues for therapeutic intervention of inherited diseases.  In seeking to disrupt Yellow Fluorescent Protein (YFP) in a Thy1-YFP transgenic mouse, we assessed the feasibility of utilising the adeno-associated virus 2 (AAV2) to deliver CRISPR/Cas for genome modification of retinal cells in vivo.;Sandy SC Hung ... Alex W. Hewitt;2016-02-09;1986;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";Rapid discovery of synthetic DNA sequences to rewrite endogenous T cell circuits;https://www.biorxiv.org/content/10.1101/604561v1;Genetically-engineered immune cell therapies have been in development for decades and recently have proven effective to treat some types of cancer.  CRISPR-based genome editing methods, enabling more flexible and targeted sequence integrations than viral transduction, have the potential to extend the clinical utility of cell therapies.;Theodore L. Roth ... Alexander Marson;2019-04-12;1893;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";Paired CRISPR/Cas9 guide-RNAs enable high-throughput deletion scanning (ScanDel) of a Mendelian disease locus for functionally critical non-coding elements;https://www.biorxiv.org/content/10.1101/092445v1;The extent to which distal non-coding mutations contribute to Mendelian disease remains a major unknown in human genetics.  Given that a gene's in vivo function can be appropriately modeled in vitro, CRISPR/Cas9 genome editing enables the large-scale perturbation of distal non-coding regions to identify functional elements in their native context.;Molly Gasperini ... Jay Shendure;2016-12-08;1612;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";Direct genome editing of patient-derived xenografts using CRISPR-Cas9 enables rapid in vivo functional genomics;https://www.biorxiv.org/content/10.1101/588921v1;Patient-derived xenografts (PDXs) constitute a powerful set of preclinical models for in vivo cancer research, reflecting the spectrum of genomic alterations and therapeutic liabilities of human cancers.  In contrast to either cancer cell lines or genetically engineered mouse models, the utility of PDXs has been limited by the inability to perform targeted genome editing of these tumors.;Christopher H Hulton ... John T Poirier;2019-03-26;1311;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";Pooled AAV-CRISPR Screen with Targeted Amplicon Sequencing;https://www.biorxiv.org/content/10.1101/153643v1;High-resolution, high-throughput direct in vivo screening of functional genetic factors in native tissues has long been challenging.  Adeno-associated viruses (AAV) are powerful carriers of transgenes and have been shown to mediate efficient genome editing in various organs in mice.;Guangchuan Wang ... Sidi Chen;2017-06-22;1233;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";BEHST: genomic set enrichment analysis enhanced through integration of chromatin long-range interactions;https://www.biorxiv.org/content/10.1101/168427v1;Transforming data from genome-scale assays into knowledge of affected molecular functions and pathways is a key challenge in biomedical research.  Using vocabularies of functional terms and databases annotating genes with these terms, pathway enrichment methods can identify terms enriched in a gene list.;Davide Chicco ... Michael M. Hoffman;2019-01-15;1037;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";CRISPR/Cas9-mediated gene deletion of the ompA gene in an Enterobacter gut symbiont impairs biofilm formation and reduces gut colonization of Aedes aegypti mosquitoes;https://www.biorxiv.org/content/10.1101/389957v3;Background: Symbiotic bacteria are pervasive in mosquitoes and their presence can influence many host phenotypes that affect vectoral capacity.  While it is evident that environmental and host genetic factors contribute in shaping the microbiome of mosquitoes, we have a poor understanding regarding how bacterial genetics affects colonization of the mosquito gut.;Shivanand Hegde ... Grant L. Hughes;2018-08-14;994;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";Somatic genome editing with the RCAS/TVA-CRISPR/Cas9 system for precision tumor modeling;https://www.biorxiv.org/content/10.1101/162669v1;It has been gradually established that the vast majority of human tumors are extraordinarily heterogeneous at a genetic level.  To accurately recapitulate this complexity, it is now evident that in vivo animal models of cancers will require to recreate not just a handful of simple genetic alterations, but possibly dozens and increasingly intricate.;Barbara Oldrini ... Massimo Squatrito;2017-08-14;750;0.14;missing
